id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
usdtb,usdtb,USDtb,https://coin-images.coingecko.com/coins/images/52804/large/USDtbSmall.png?1734344946,0.999843,1438352100,85,1438352100,16188043.0,1.0,0.999243,0.00022351,0.02236,-5453929.736450911,-0.37775,1438577752.366031,1438577752.366031,,1.018,-1.72627,2024-12-20T13:43:38.196Z,0.900502,11.05144,2025-07-17T08:05:52.672Z,,2025-08-01T11:55:40.042Z
kucoin-shares,kcs,KuCoin,https://coin-images.coingecko.com/coins/images/1047/large/sa9z79.png?1696502152,11.04,1413391596,86,1579774834,4989017.0,11.43,11.09,-0.36377926022705864,-3.18932,-38907493.78710675,-2.67903,127421933.7355671,142421933.7355671,,28.83,-61.42694,2021-12-01T15:09:35.541Z,0.342863,3143.44372,2019-02-07T00:00:00.000Z,,2025-08-01T11:55:34.184Z
stakewise-v3-oseth,oseth,StakeWise Staked ETH,https://coin-images.coingecko.com/coins/images/33117/large/Frame_27513839.png?1700732599,3884.18,1393930801,87,1393930801,208475.0,4041.71,3794.27,-144.8566997342332,-3.59532,-51920683.63105488,-3.59101,358880.6839472,358880.6839472,,4228.59,-8.14322,2024-12-06T20:32:35.136Z,1459.73,166.0936,2025-04-09T01:32:44.161Z,,2025-08-01T11:55:36.906Z
usdt0,usdt0,USDT0,https://coin-images.coingecko.com/coins/images/53705/large/usdt0.jpg?1737086183,0.999261,1363264328,88,185913986532,503619531.0,1.001,0.997955,-0.000200609570928489,-0.02007,-7425606.320887089,-0.54174,1362655291.828991,185926416859.2934,,1.052,-5.02693,2025-01-23T22:34:53.341Z,0.975737,2.39978,2025-02-28T01:35:58.101Z,,2025-08-01T11:55:40.227Z
liquid-staked-ethereum,lseth,Liquid Staked ETH,https://coin-images.coingecko.com/coins/images/28848/large/LsETH-receipt-token-circle.png?1696527824,3927.69,1323562044,89,1323562044,1145955.0,4152.37,3895.63,-209.96811000890102,-5.07457,-72266710.35376835,-5.17733,337033.8797413337,337033.8797413337,,4332.67,-9.42648,2024-12-06T20:27:20.677Z,1384.61,183.41966,2023-03-10T11:26:12.210Z,,2025-08-01T11:55:38.417Z
mantle-staked-ether,meth,Mantle Staked Ether,https://coin-images.coingecko.com/coins/images/33345/large/symbol_transparent_bg.png?1701697066,3895.73,1316865511,90,1316865511,3591976.0,4113.22,3860.21,-196.29831778784273,-4.79709,-73558554.7464261,-5.29037,338016.6418968278,338016.6418968278,,4729.53,-17.79211,2024-03-27T05:26:27.333Z,1485.62,161.71185,2025-04-09T01:32:38.082Z,,2025-08-01T11:55:36.177Z
nexo,nexo,NEXO,https://coin-images.coingecko.com/coins/images/3695/large/CG-nexo-token-200x200_2x.png?1730414360,1.3,1294717436,91,1294717436,12849370.0,1.33,1.29,-0.023844544831366,-1.807,-24833315.17712903,-1.88195,1000000000.0,1000000000.0,1000000000.0,4.07,-68.15059,2021-05-12T14:37:47.535Z,0.04515276,2769.42449,2018-09-13T00:00:00.000Z,"{'times': 11.9571879126147, 'currency': 'usd', 'percentage': 1195.71879126147}",2025-08-01T11:55:35.079Z
first-digital-usd,fdusd,First Digital USD,https://coin-images.coingecko.com/coins/images/31079/large/FDUSD_icon_black.png?1731097953,0.999016,1285549236,92,1285549236,10350612385.0,1.003,0.991604,0.00132606,0.13291,-17250222.14749098,-1.32409,1286786437.68804,1286786437.68804,,1.15,-13.30357,2025-02-03T02:30:49.959Z,0.940377,6.14509,2024-12-05T22:30:51.394Z,,2025-08-01T11:55:34.304Z
curve-dao-token,crv,Curve DAO,https://coin-images.coingecko.com/coins/images/12124/large/Curve.png?1696511967,0.925295,1275872995,93,2116391475,299917977.0,1.031,0.914757,-0.10486564910123242,-10.17955,-145589687.07128954,-10.24224,1380190538.0,2289431235.907095,3030303031.0,15.37,-93.98224,2020-08-14T00:00:00.000Z,0.180354,412.91072,2024-08-05T11:41:26.119Z,,2025-08-01T11:55:32.729Z
injective-protocol,inj,Injective,https://coin-images.coingecko.com/coins/images/12882/large/Other_200x200.png?1738782212,12.92,1258179838,94,1287440525,179817357.0,14.36,12.78,-1.4342447140757084,-9.99262,-149119686.69433665,-10.59616,97727220.33,100000000.0,,52.62,-75.63218,2024-03-14T15:06:22.124Z,0.657401,1850.48569,2020-11-03T16:19:30.576Z,,2025-08-01T11:55:34.159Z
blockstack,stx,Stacks,https://coin-images.coingecko.com/coins/images/2069/large/Stacks_Logo_png.png?1709979332,0.698608,1248474583,95,1248474583,46471434.0,0.763787,0.688237,-0.06396653339816127,-8.38823,-115488709.00394917,-8.46714,1789049225.82627,1789049225.82627,,3.86,-82.01656,2024-04-01T12:34:58.342Z,0.04559639,1424.1074,2020-03-13T02:29:26.415Z,"{'times': 4.821737106362122, 'currency': 'usd', 'percentage': 482.17371063621226}",2025-08-01T11:55:31.808Z
